TableName,ColumnName,Description,PK,DataType,Length,DefaultValue,Nullable,ForeignTable,ForeignCol
nmramBiotic                                       ,InvSpp                                                                     ,Invasive species: list codes,FALSE,Text                     ,255,                                                  ,TRUE,,
nmramBiotic                                       ,PolyID                                                                     ,polygon in project area,TRUE,Integer                  ,2,                                                  ,FALSE,,
nmramBiotic                                       ,RegenCover                                                                 ,Tree regeneration percent cover,FALSE,Integer                  ,2,                                                  ,TRUE,,
nmramBiotic                                       ,StrucType                                                                  ,Structure type,FALSE,Text                     ,255,                                                  ,TRUE,,
nmramBiotic                                       ,WetSpp                                                                     ,Wetlands species: list codes,FALSE,Text                     ,255,                                                  ,TRUE,,
nmramComp                                         ,Comment                                                                    ,,FALSE,Text                     ,100,                                                  ,TRUE,,
nmramComp                                         ,CT                                                                         ,,TRUE,Text                     ,5,                                                  ,FALSE,,
nmramComp                                         ,CTRaw                                                                      ,,FALSE,Double                   ,8,                                                  ,TRUE,,
nmramComp                                         ,EventID                                                                    ,,TRUE,Text                     ,50,                                                  ,FALSE,,
nmramComp                                         ,HerbSpp1                                                                   ,,FALSE,Text                     ,6,                                                  ,TRUE,,
nmramComp                                         ,HerbSpp2                                                                   ,,FALSE,Text                     ,6,                                                  ,TRUE,,
nmramComp                                         ,HerbSppEN1                                                                 ,,FALSE,Text                     ,1,                                                  ,TRUE,,
nmramComp                                         ,HerbSppEN2                                                                 ,,FALSE,Text                     ,1,                                                  ,TRUE,,
nmramComp                                         ,PercArea                                                                   ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramComp                                         ,PolyID                                                                     ,,TRUE,Text                     ,50,                                                  ,FALSE,,
nmramComp                                         ,ShortWoodEN1                                                               ,,FALSE,Text                     ,1,                                                  ,TRUE,,
nmramComp                                         ,ShortWoodEN2                                                               ,,FALSE,Text                     ,1,                                                  ,TRUE,,
nmramComp                                         ,ShortWoodSpp1                                                              ,,FALSE,Text                     ,6,                                                  ,TRUE,,
nmramComp                                         ,ShortWoodSpp2                                                              ,,FALSE,Text                     ,6,                                                  ,TRUE,,
nmramComp                                         ,TallWoodEN1                                                                ,,FALSE,Text                     ,1,                                                  ,TRUE,,
nmramComp                                         ,TallWoodEN2                                                                ,,FALSE,Text                     ,1,                                                  ,TRUE,,
nmramComp                                         ,TallWoodSpp1                                                               ,,FALSE,Text                     ,6,                                                  ,TRUE,,
nmramComp                                         ,TallWoodSpp2                                                               ,,FALSE,Text                     ,6,                                                  ,TRUE,,
nmramComp                                         ,WtScore                                                                    ,,FALSE,Double                   ,8,                                                  ,TRUE,,
nmramCover                                        ,AbioticCond                                                                ,Abiotic condition (SA Description),FALSE,Memo                     ,0,                                                  ,TRUE,,
nmramCover                                        ,BioticCond                                                                 ,"Biotic condition: vegetation patterns, composition and structure, exotics and invasives, disturbance evidence, fire and herbivory (SA Description)",FALSE,Memo                     ,0,                                                  ,TRUE,,
nmramCover                                        ,EventID                                                                    ,Event ID,TRUE,Text                     ,50,                                                  ,FALSE,,
nmramCover                                        ,LandContext                                                                ,Landscape context: summarize the wetland and surrounding landscape (SA Description),FALSE,Memo                     ,0,                                                  ,TRUE,,
nmramPolygon                                      ,Comment                                                                    ,Additional comments,FALSE,Text                     ,255,                                                  ,TRUE,,
nmramPolygon                                      ,DateCreated                                                                ,Date created,FALSE,Date/Time                ,8,                                                  ,TRUE,,
nmramPolygon                                      ,Description                                                                ,Brief description,FALSE,Text                     ,255,                                                  ,TRUE,,
nmramPolygon                                      ,PolygonID                                                                  ,Monitoring contractor ID/polygon standard ID,TRUE,Text                     ,255,                                                  ,FALSE,,
nmramPolygon                                      ,PolyName                                                                   ,Name of the polygon,FALSE,Text                     ,255,                                                  ,TRUE,,
nmramPolygon                                      ,Project                                                                    ,Project ID that current polygon falls under,FALSE,Text                     ,255,                                                  ,TRUE,,
nmramScores                                       ,CTScore                                                                    ,Weighted CT score for entire area,FALSE,Double                   ,8,                                                  ,TRUE,,
nmramScores                                       ,EventID                                                                    ,Event ID,TRUE,Text                     ,50,                                                  ,FALSE,,
nmramScores                                       ,Fuels                                                                      ,Surface fuels rating (Table 8),FALSE,Text                     ,255,                                                  ,TRUE,,
nmramScores                                       ,HorizStruct                                                                ,Ratings for overall vegetation horizontal path structure (B2),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramScores                                       ,InvCover                                                                   ,Rating for invasive exotic plant species cover (Table B5),FALSE,Integer                  ,4,0,TRUE,,
nmramScores                                       ,NativeCommComp                                                             ,Relative native plant community composition rating (B1),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramScores                                       ,PercInvCover                                                               ,Percent invasive species cover (Worksheet 9),FALSE,Double                   ,8,                                                  ,TRUE,,
nmramScores                                       ,SoilCond                                                                   ,Soil surface condition rating (Table 7),FALSE,Integer                  ,2,                                                  ,TRUE,,
nmramScores                                       ,TreeRegen                                                                  ,Native riparian tree regeneration rating (B4),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramScores                                       ,VertStruct                                                                 ,Rating for vegetation vertical structure (B3),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramScoreWts                                     ,HorizStruct                                                                ,Weight for overall vegetation horizontal path structure (B2),FALSE,Double                   ,8,                                                  ,TRUE,,
nmramScoreWts                                     ,ID                                                                         ,,TRUE,AutoNumber               ,4,                                                  ,TRUE,,
nmramScoreWts                                     ,InvCover                                                                   ,Weight for invasive exotic plant species cover (Table B5),FALSE,Double                   ,8,                                                  ,TRUE,,
nmramScoreWts                                     ,NativeCommComp                                                             ,Weight for native plant community composition rating (B1),FALSE,Double                   ,8,                                                  ,TRUE,,
nmramScoreWts                                     ,TreeRegen                                                                  ,Weight for native riparian tree regeneration rating (B4),FALSE,Double                   ,8,                                                  ,TRUE,,
nmramScoreWts                                     ,VertStruct                                                                 ,Weight for vegetation vertical structure (B3),FALSE,Double                   ,8,                                                  ,TRUE,,
nmramStructArea                                   ,Area1                                                                      ,Total % of project area for structural type 1 (Worksheet 8),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramStructArea                                   ,Area2                                                                      ,Total % of project area for structural type 2 (Worksheet 8),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramStructArea                                   ,Area5                                                                      ,Total % of project area for structural type 5 (Worksheet 8),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramStructArea                                   ,Area6H                                                                     ,Total % of project area for structural type 6H (Worksheet 8),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramStructArea                                   ,Area6S                                                                     ,Total % of project area for structural type 6S (Worksheet 8),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramStructArea                                   ,Area6W                                                                     ,Total % of project area for structural type 6W (Worksheet 8),FALSE,Integer                  ,4,                                                  ,TRUE,,
